pokemon_rank,pokemon,slug,season,rule,format,panel,entry_rank,name,name_ja,percentage,type,category,power,accuracy
1,烈咬陆鲨,garchomp,M-3,M-B,single,moves,1,地震,じしん,99.5,ground,physical,100,
1,烈咬陆鲨,garchomp,M-3,M-B,single,moves,2,隐形岩,ステルスロック,47.8,rock,status,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,moves,3,逆鳞,げきりん,47.7,dragon,physical,120,
1,烈咬陆鲨,garchomp,M-3,M-B,single,moves,4,岩石封锁,がんせきふうじ,35.4,rock,physical,60,
1,烈咬陆鲨,garchomp,M-3,M-B,single,moves,5,鳞射,スケイルショット,30.9,dragon,physical,25,
1,烈咬陆鲨,garchomp,M-3,M-B,single,moves,6,剑舞,つるぎのまい,23.2,normal,status,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,moves,7,龙尾,ドラゴンテール,22.7,dragon,physical,60,
1,烈咬陆鲨,garchomp,M-3,M-B,single,moves,8,岩崩,いわなだれ,19.2,rock,physical,75,
1,烈咬陆鲨,garchomp,M-3,M-B,single,moves,9,毒击,どくづき,16.1,poison,physical,80,
1,烈咬陆鲨,garchomp,M-3,M-B,single,moves,10,撒菱,まきびし,15.5,ground,status,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,items,1,气势披带,きあいのタスキ,38.3,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,items,2,讲究围巾,こだわりスカーフ,25.4,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,items,3,文柚果,オボンのみ,21.1,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,items,4,生命宝珠,いのちのたま,4.9,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,items,5,木子果,ラムのみ,4.8,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,items,6,烈咬陆鲨进化石,ガブリアスナイト,1.1,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,items,7,吃剩的东西,たべのこし,1.0,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,items,8,番荔果,ヤチェのみ,0.8,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,items,9,莓榴果,ハバンのみ,0.5,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,items,10,先制之爪,せんせいのツメ,0.3,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,abilities,1,粗糙皮肤,さめはだ,99.2,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,abilities,2,沙隐,すなかくれ,0.8,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,natures,1,爽朗,ようき,58.3,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,natures,2,固执,いじっぱり,23.8,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,natures,3,淘气,わんぱく,14.5,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,natures,4,慎重,しんちょう,1.6,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,natures,5,天真,むじゃき,0.4,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,natures,6,顽皮,やんちゃ,0.3,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,natures,7,大胆,ずぶとい,0.2,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,natures,8,急躁,せっかち,0.2,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,single,natures,9,怕寂寞,さみしがり,0.2,,,,
