atk,def,format,hp,percentage,pokemon,pokemon_rank,rank,rule,season,slug,spa,spd,spe
32,0,double,2,47.8,烈咬陆鲨,1,1,M-B,M-3,garchomp,0,0,32
30,4,double,0,5.0,烈咬陆鲨,1,2,M-B,M-3,garchomp,0,0,32
32,2,double,0,4.9,烈咬陆鲨,1,3,M-B,M-3,garchomp,0,0,32
32,0,double,0,4.7,烈咬陆鲨,1,4,M-B,M-3,garchomp,0,2,32
10,0,double,22,1.6,烈咬陆鲨,1,5,M-B,M-3,garchomp,0,2,32
32,0,double,0,1.5,烈咬陆鲨,1,6,M-B,M-3,garchomp,0,0,32
20,0,double,14,1.4,烈咬陆鲨,1,7,M-B,M-3,garchomp,0,0,32
28,0,double,6,1.3,烈咬陆鲨,1,8,M-B,M-3,garchomp,0,0,32
25,3,double,6,1.2,烈咬陆鲨,1,9,M-B,M-3,garchomp,0,0,32
30,0,double,4,1.2,烈咬陆鲨,1,10,M-B,M-3,garchomp,0,0,32
0,0,double,2,58.1,风妖精,2,1,M-B,M-3,whimsicott,32,0,32
0,0,double,0,4.0,风妖精,2,2,M-B,M-3,whimsicott,32,2,32
0,2,double,0,3.7,风妖精,2,3,M-B,M-3,whimsicott,32,0,32
0,0,double,0,2.0,风妖精,2,4,M-B,M-3,whimsicott,32,0,32
0,1,double,1,1.8,风妖精,2,5,M-B,M-3,whimsicott,32,0,32
0,0,double,32,1.6,风妖精,2,6,M-B,M-3,whimsicott,2,0,32
0,0,double,32,1.6,风妖精,2,7,M-B,M-3,whimsicott,0,2,32
0,2,double,32,1.3,风妖精,2,8,M-B,M-3,whimsicott,0,0,32
0,0,double,32,1.2,风妖精,2,9,M-B,M-3,whimsicott,32,2,0
0,15,double,32,0.9,风妖精,2,10,M-B,M-3,whimsicott,0,19,0
32,0,double,2,36.6,幽尾玄鱼,3,1,M-B,M-3,basculegion,0,0,32
32,2,double,0,15.6,幽尾玄鱼,3,2,M-B,M-3,basculegion,0,0,32
31,11,double,4,5.2,幽尾玄鱼,3,3,M-B,M-3,basculegion,0,0,20
32,0,double,0,3.7,幽尾玄鱼,3,4,M-B,M-3,basculegion,0,2,32
32,7,double,12,2.0,幽尾玄鱼,3,5,M-B,M-3,basculegion,0,0,15
18,2,double,24,1.9,幽尾玄鱼,3,6,M-B,M-3,basculegion,0,8,14
32,10,double,4,1.8,幽尾玄鱼,3,7,M-B,M-3,basculegion,0,0,20
32,0,double,0,1.7,幽尾玄鱼,3,8,M-B,M-3,basculegion,0,0,32
20,14,double,0,1.6,幽尾玄鱼,3,9,M-B,M-3,basculegion,0,0,32
32,1,double,0,1.5,幽尾玄鱼,3,10,M-B,M-3,basculegion,0,1,32
0,14,double,32,19.1,来悲粗茶,4,1,M-B,M-3,sinistcha,0,20,0
0,4,double,32,9.7,来悲粗茶,4,2,M-B,M-3,sinistcha,0,30,0
0,2,double,32,5.1,来悲粗茶,4,3,M-B,M-3,sinistcha,0,32,0
0,14,double,31,4.4,来悲粗茶,4,4,M-B,M-3,sinistcha,0,21,0
0,24,double,32,3.4,来悲粗茶,4,5,M-B,M-3,sinistcha,0,10,0
0,32,double,32,3.0,来悲粗茶,4,6,M-B,M-3,sinistcha,0,2,0
0,7,double,31,2.7,来悲粗茶,4,7,M-B,M-3,sinistcha,0,28,0
0,16,double,32,2.6,来悲粗茶,4,8,M-B,M-3,sinistcha,0,18,0
0,15,double,31,2.0,来悲粗茶,4,9,M-B,M-3,sinistcha,0,20,0
0,2,double,32,1.8,来悲粗茶,4,10,M-B,M-3,sinistcha,32,0,0
0,14,double,32,9.1,炽焰咆哮虎,5,1,M-B,M-3,incineroar,0,20,0
32,2,double,32,3.6,炽焰咆哮虎,5,2,M-B,M-3,incineroar,0,0,0
32,0,double,32,3.2,炽焰咆哮虎,5,3,M-B,M-3,incineroar,0,2,0
0,16,double,32,2.7,炽焰咆哮虎,5,4,M-B,M-3,incineroar,0,18,0
32,0,double,32,2.3,炽焰咆哮虎,5,5,M-B,M-3,incineroar,0,0,2
0,14,double,32,2.1,炽焰咆哮虎,5,6,M-B,M-3,incineroar,0,15,5
0,20,double,32,1.8,炽焰咆哮虎,5,7,M-B,M-3,incineroar,0,14,0
0,2,double,32,1.7,炽焰咆哮虎,5,8,M-B,M-3,incineroar,0,32,0
0,32,double,32,1.5,炽焰咆哮虎,5,9,M-B,M-3,incineroar,0,2,0
0,7,double,31,1.3,炽焰咆哮虎,5,10,M-B,M-3,incineroar,0,20,8
32,0,double,32,20.4,仆斩将军,6,1,M-B,M-3,kingambit,0,2,0
32,0,double,32,13.9,仆斩将军,6,2,M-B,M-3,kingambit,0,0,2
32,2,double,32,12.8,仆斩将军,6,3,M-B,M-3,kingambit,0,0,0
32,0,double,2,3.8,仆斩将军,6,4,M-B,M-3,kingambit,0,0,32
32,0,double,32,2.7,仆斩将军,6,5,M-B,M-3,kingambit,0,1,1
32,0,double,1,2.1,仆斩将军,6,6,M-B,M-3,kingambit,0,1,32
32,32,double,2,2.1,仆斩将军,6,7,M-B,M-3,kingambit,0,0,0
31,1,double,24,1.8,仆斩将军,6,8,M-B,M-3,kingambit,0,1,9
32,1,double,32,1.3,仆斩将军,6,9,M-B,M-3,kingambit,0,1,0
32,0,double,2,1.1,仆斩将军,6,10,M-B,M-3,kingambit,0,32,0
0,0,double,2,35.6,喷火龙,7,1,M-B,M-3,charizard,32,0,32
0,2,double,0,4.9,喷火龙,7,2,M-B,M-3,charizard,32,0,32
0,29,double,20,3.2,喷火龙,7,3,M-B,M-3,charizard,1,0,16
0,0,double,0,2.8,喷火龙,7,4,M-B,M-3,charizard,32,2,32
0,25,double,16,2.4,喷火龙,7,5,M-B,M-3,charizard,12,0,13
0,14,double,24,1.9,喷火龙,7,6,M-B,M-3,charizard,11,0,17
32,0,double,2,1.6,喷火龙,7,7,M-B,M-3,charizard,0,0,32
0,0,double,0,1.4,喷火龙,7,8,M-B,M-3,charizard,32,0,32
0,28,double,14,1.4,喷火龙,7,9,M-B,M-3,charizard,11,0,13
0,18,double,15,1.3,喷火龙,7,10,M-B,M-3,charizard,1,0,32
0,0,double,2,33.0,大嘴鸥,8,1,M-B,M-3,pelipper,32,0,32
0,1,double,32,4.7,大嘴鸥,8,2,M-B,M-3,pelipper,5,17,11
0,2,double,0,3.9,大嘴鸥,8,3,M-B,M-3,pelipper,32,0,32
0,2,double,31,3.8,大嘴鸥,8,4,M-B,M-3,pelipper,0,32,1
0,0,double,0,3.4,大嘴鸥,8,5,M-B,M-3,pelipper,32,2,32
0,0,double,32,2.7,大嘴鸥,8,6,M-B,M-3,pelipper,32,2,0
0,2,double,32,1.8,大嘴鸥,8,7,M-B,M-3,pelipper,32,0,0
0,0,double,32,1.5,大嘴鸥,8,8,M-B,M-3,pelipper,32,0,2
0,0,double,0,1.4,大嘴鸥,8,9,M-B,M-3,pelipper,32,0,32
0,10,double,32,1.2,大嘴鸥,8,10,M-B,M-3,pelipper,0,24,0
0,2,double,32,13.4,仙子伊布,9,1,M-B,M-3,sylveon,32,0,0
0,0,double,32,11.0,仙子伊布,9,2,M-B,M-3,sylveon,32,0,2
0,22,double,9,5.4,仙子伊布,9,3,M-B,M-3,sylveon,30,0,5
0,22,double,9,4.7,仙子伊布,9,4,M-B,M-3,sylveon,20,0,15
0,0,double,2,4.2,仙子伊布,9,5,M-B,M-3,sylveon,32,0,32
0,0,double,32,3.7,仙子伊布,9,6,M-B,M-3,sylveon,32,2,0
0,22,double,9,2.9,仙子伊布,9,7,M-B,M-3,sylveon,26,0,9
0,22,double,9,2.4,仙子伊布,9,8,M-B,M-3,sylveon,25,0,10
0,15,double,10,2.2,仙子伊布,9,9,M-B,M-3,sylveon,30,0,11
0,32,double,2,1.7,仙子伊布,9,10,M-B,M-3,sylveon,32,0,0
32,0,double,2,49.9,大狃拉,10,1,M-B,M-3,sneasler,0,0,32
32,2,double,0,12.2,大狃拉,10,2,M-B,M-3,sneasler,0,0,32
32,0,double,0,8.2,大狃拉,10,3,M-B,M-3,sneasler,0,2,32
32,1,double,1,3.2,大狃拉,10,4,M-B,M-3,sneasler,0,0,32
32,0,double,0,2.8,大狃拉,10,5,M-B,M-3,sneasler,0,0,32
16,23,double,4,2.8,大狃拉,10,6,M-B,M-3,sneasler,0,0,23
32,0,double,32,1.0,大狃拉,10,7,M-B,M-3,sneasler,0,0,2
32,0,double,1,0.8,大狃拉,10,8,M-B,M-3,sneasler,0,0,32
32,2,double,32,0.7,大狃拉,10,9,M-B,M-3,sneasler,0,0,0
32,1,double,0,0.7,大狃拉,10,10,M-B,M-3,sneasler,0,1,32
32,0,double,2,26.7,姆克鹰,11,1,M-B,M-3,staraptor,0,0,32
2,0,double,32,17.7,姆克鹰,11,2,M-B,M-3,staraptor,0,0,32
0,0,double,32,3.6,姆克鹰,11,3,M-B,M-3,staraptor,0,2,32
32,0,double,0,3.5,姆克鹰,11,4,M-B,M-3,staraptor,0,2,32
19,4,double,11,2.8,姆克鹰,11,5,M-B,M-3,staraptor,0,0,32
32,2,double,0,2.7,姆克鹰,11,6,M-B,M-3,staraptor,0,0,32
32,0,double,32,1.8,姆克鹰,11,7,M-B,M-3,staraptor,0,0,2
6,1,double,31,1.5,姆克鹰,11,8,M-B,M-3,staraptor,0,0,28
0,0,double,32,1.4,姆克鹰,11,9,M-B,M-3,staraptor,0,0,32
4,0,double,32,1.4,姆克鹰,11,10,M-B,M-3,staraptor,0,0,30
0,19,double,17,6.3,奇麒麟,12,1,M-B,M-3,farigiraf,10,20,0
0,20,double,32,4.9,奇麒麟,12,2,M-B,M-3,farigiraf,0,14,0
0,26,double,25,4.3,奇麒麟,12,3,M-B,M-3,farigiraf,0,15,0
0,2,double,32,3.7,奇麒麟,12,4,M-B,M-3,farigiraf,32,0,0
0,32,double,32,3.6,奇麒麟,12,5,M-B,M-3,farigiraf,0,2,0
0,27,double,32,3.1,奇麒麟,12,6,M-B,M-3,farigiraf,0,7,0
0,10,double,25,3.0,奇麒麟,12,7,M-B,M-3,farigiraf,0,24,7
0,0,double,32,2.4,奇麒麟,12,8,M-B,M-3,farigiraf,32,2,0
0,14,double,31,1.9,奇麒麟,12,9,M-B,M-3,farigiraf,13,8,0
0,15,double,31,1.8,奇麒麟,12,10,M-B,M-3,farigiraf,0,20,0
0,1,double,32,10.6,铝钢桥龙,13,1,M-B,M-3,archaludon,5,25,3
0,0,double,2,4.9,铝钢桥龙,13,2,M-B,M-3,archaludon,32,0,32
0,0,double,32,4.5,铝钢桥龙,13,3,M-B,M-3,archaludon,1,29,4
0,0,double,32,3.8,铝钢桥龙,13,4,M-B,M-3,archaludon,32,2,0
0,0,double,32,2.5,铝钢桥龙,13,5,M-B,M-3,archaludon,32,0,2
0,2,double,32,2.3,铝钢桥龙,13,6,M-B,M-3,archaludon,32,0,0
0,1,double,32,2.3,铝钢桥龙,13,7,M-B,M-3,archaludon,5,21,7
0,0,double,32,1.8,铝钢桥龙,13,8,M-B,M-3,archaludon,2,32,0
0,0,double,27,1.7,铝钢桥龙,13,9,M-B,M-3,archaludon,0,30,9
0,0,double,32,1.7,铝钢桥龙,13,10,M-B,M-3,archaludon,6,25,3
32,0,double,2,31.4,巨沼怪,14,1,M-B,M-3,swampert,0,0,32
32,0,double,12,6.6,巨沼怪,14,2,M-B,M-3,swampert,0,0,22
30,0,double,18,6.0,巨沼怪,14,3,M-B,M-3,swampert,0,0,18
32,2,double,0,3.0,巨沼怪,14,4,M-B,M-3,swampert,0,0,32
32,0,double,20,2.7,巨沼怪,14,5,M-B,M-3,swampert,0,1,13
32,0,double,0,2.4,巨沼怪,14,6,M-B,M-3,swampert,0,2,32
20,0,double,24,2.3,巨沼怪,14,7,M-B,M-3,swampert,0,0,22
32,0,double,32,2.2,巨沼怪,14,8,M-B,M-3,swampert,0,0,2
32,0,double,14,1.6,巨沼怪,14,9,M-B,M-3,swampert,0,0,20
20,1,double,12,1.6,巨沼怪,14,10,M-B,M-3,swampert,0,1,32
0,0,double,2,49.8,雷丘,15,1,M-B,M-3,raichu,32,0,32
32,0,double,2,8.4,雷丘,15,2,M-B,M-3,raichu,0,0,32
0,2,double,0,5.4,雷丘,15,3,M-B,M-3,raichu,32,0,32
