pokemon_rank,pokemon,slug,season,rule,format,panel,entry_rank,name,name_ja,percentage,type,category,power,accuracy
1,烈咬陆鲨,garchomp,M-3,M-B,double,moves,1,龙爪,ドラゴンクロー,89.0,dragon,physical,80,
1,烈咬陆鲨,garchomp,M-3,M-B,double,moves,2,岩崩,いわなだれ,84.7,rock,physical,75,
1,烈咬陆鲨,garchomp,M-3,M-B,double,moves,3,地震,じしん,79.4,ground,physical,100,
1,烈咬陆鲨,garchomp,M-3,M-B,double,moves,4,守住,まもる,73.8,normal,status,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,moves,5,跺脚,じだんだ,31.1,ground,physical,75,
1,烈咬陆鲨,garchomp,M-3,M-B,double,moves,6,毒击,どくづき,15.7,poison,physical,80,
1,烈咬陆鲨,garchomp,M-3,M-B,double,moves,7,岩石封锁,がんせきふうじ,8.1,rock,physical,60,
1,烈咬陆鲨,garchomp,M-3,M-B,double,moves,8,鳞射,スケイルショット,2.8,dragon,physical,25,
1,烈咬陆鲨,garchomp,M-3,M-B,double,moves,9,铁头,アイアンヘッド,2.6,steel,physical,80,
1,烈咬陆鲨,garchomp,M-3,M-B,double,moves,10,剑舞,つるぎのまい,2.3,normal,status,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,items,1,生命宝珠,いのちのたま,58.0,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,items,2,文柚果,オボンのみ,10.5,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,items,3,讲究围巾,こだわりスカーフ,10.0,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,items,4,洛玫果,ロゼルのみ,8.1,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,items,5,柔软沙子,やわらかいすな,2.1,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,items,6,气势披带,きあいのタスキ,1.6,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,items,7,烈咬陆鲨进化石,ガブリアスナイト,1.2,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,items,8,白色香草,しろいハーブ,1.2,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,items,9,番荔果,ヤチェのみ,1.0,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,items,10,莓榴果,ハバンのみ,1.0,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,abilities,1,粗糙皮肤,さめはだ,97.5,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,abilities,2,沙隐,すなかくれ,2.5,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,natures,1,爽朗,ようき,66.5,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,natures,2,固执,いじっぱり,30.9,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,natures,3,勇敢,ゆうかん,0.7,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,natures,4,顽皮,やんちゃ,0.3,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,natures,5,淘气,わんぱく,0.3,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,natures,6,怕寂寞,さみしがり,0.3,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,natures,7,慎重,しんちょう,0.2,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,natures,8,天真,むじゃき,0.2,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,natures,9,急躁,せっかち,0.2,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,natures,10,胆小,おくびょう,0.1,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,partners,1,风妖精,エルフーン,,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,partners,2,喷火龙,リザードン,,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,partners,3,幽尾玄鱼,イダイトウ(オス),,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,partners,4,仆刀将军,ドドゲザン,,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,partners,5,仙子伊布,ニンフィア,,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,partners,6,炽焰咆哮虎,ガオガエン,,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,partners,7,姆克鹰,ムクホーク,,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,partners,8,来悲粗茶,ヤバソチャ,,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,partners,9,大狃拉,オオニューラ,,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,partners,10,化石翼龙,プテラ,,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,spreads,1,,,47.8,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,spreads,2,,,5.0,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,spreads,3,,,4.9,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,spreads,4,,,4.7,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,spreads,5,,,1.6,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,spreads,6,,,1.5,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,spreads,7,,,1.4,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,spreads,8,,,1.3,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,spreads,9,,,1.2,,,,
1,烈咬陆鲨,garchomp,M-3,M-B,double,spreads,10,,,1.2,,,,
2,风妖精,whimsicott,M-3,M-B,double,moves,1,顺风,おいかぜ,98.1,flying,status,,
2,风妖精,whimsicott,M-3,M-B,double,moves,2,月亮之力,ムーンフォース,90.3,fairy,special,95,
2,风妖精,whimsicott,M-3,M-B,double,moves,3,再来一次,アンコール,68.3,normal,status,,
2,风妖精,whimsicott,M-3,M-B,double,moves,4,守住,まもる,49.6,normal,status,,
2,风妖精,whimsicott,M-3,M-B,double,moves,5,大晴天,にほんばれ,17.3,fire,status,,
2,风妖精,whimsicott,M-3,M-B,double,moves,6,撒娇,あまえる,17.2,fairy,status,,
2,风妖精,whimsicott,M-3,M-B,double,moves,7,能量球,エナジーボール,9.2,grass,special,90,
2,风妖精,whimsicott,M-3,M-B,double,moves,8,假哭,うそなき,8.9,dark,status,,
2,风妖精,whimsicott,M-3,M-B,double,moves,9,挠痒,くすぐる,7.7,normal,status,,
2,风妖精,whimsicott,M-3,M-B,double,moves,10,挑衅,ちょうはつ,6.0,dark,status,,
2,风妖精,whimsicott,M-3,M-B,double,items,1,气势披带,きあいのタスキ,85.0,,,,
2,风妖精,whimsicott,M-3,M-B,double,items,2,妖精之羽,ようせいのハネ,4.2,,,,
2,风妖精,whimsicott,M-3,M-B,double,items,3,心灵香草,メンタルハーブ,2.3,,,,
2,风妖精,whimsicott,M-3,M-B,double,items,4,文柚果,オボンのみ,2.1,,,,
2,风妖精,whimsicott,M-3,M-B,double,items,5,棱瓜果,バコウのみ,1.3,,,,
2,风妖精,whimsicott,M-3,M-B,double,items,6,吃剩的东西,たべのこし,1.0,,,,
2,风妖精,whimsicott,M-3,M-B,double,items,7,巧可果,オッカのみ,1.0,,,,
2,风妖精,whimsicott,M-3,M-B,double,items,8,光粉,ひかりのこな,0.6,,,,
2,风妖精,whimsicott,M-3,M-B,double,items,9,通通果,ビアーのみ,0.4,,,,
2,风妖精,whimsicott,M-3,M-B,double,items,10,气势头带,きあいのハチマキ,0.3,,,,
2,风妖精,whimsicott,M-3,M-B,double,abilities,1,恶作剧之心,いたずらごころ,99.3,,,,
2,风妖精,whimsicott,M-3,M-B,double,abilities,2,叶绿素,ようりょくそ,0.4,,,,
2,风妖精,whimsicott,M-3,M-B,double,abilities,3,穿透,すりぬけ,0.2,,,,
2,风妖精,whimsicott,M-3,M-B,double,natures,1,胆小,おくびょう,79.5,,,,
2,风妖精,whimsicott,M-3,M-B,double,natures,2,内敛,ひかえめ,9.8,,,,
