atk,def,format,hp,percentage,pokemon,pokemon_rank,rank,rule,season,slug,spa,spd,spe
32,0,single,2,55.2,烈咬陆鲨,1,1,M-B,M-3,garchomp,0,0,32
32,2,single,0,7.2,烈咬陆鲨,1,2,M-B,M-3,garchomp,0,0,32
0,32,single,32,3.9,烈咬陆鲨,1,3,M-B,M-3,garchomp,0,0,2
32,0,single,0,3.0,烈咬陆鲨,1,4,M-B,M-3,garchomp,0,2,32
32,1,single,0,2.9,烈咬陆鲨,1,5,M-B,M-3,garchomp,0,1,32
0,32,single,32,2.1,烈咬陆鲨,1,6,M-B,M-3,garchomp,0,2,0
30,4,single,0,1.6,烈咬陆鲨,1,7,M-B,M-3,garchomp,0,0,32
0,25,single,32,1.5,烈咬陆鲨,1,8,M-B,M-3,garchomp,0,0,9
32,0,single,0,1.4,烈咬陆鲨,1,9,M-B,M-3,garchomp,0,0,32
0,30,single,32,0.8,烈咬陆鲨,1,10,M-B,M-3,garchomp,0,0,4
32,0,single,2,24.0,谜拟Ｑ,2,1,M-B,M-3,mimikyu,0,0,32
32,1,single,1,19.8,谜拟Ｑ,2,2,M-B,M-3,mimikyu,0,0,32
32,2,single,32,5.9,谜拟Ｑ,2,3,M-B,M-3,mimikyu,0,0,0
32,5,single,29,4.6,谜拟Ｑ,2,4,M-B,M-3,mimikyu,0,0,0
32,2,single,0,4.5,谜拟Ｑ,2,5,M-B,M-3,mimikyu,0,0,32
30,7,single,29,2.9,谜拟Ｑ,2,6,M-B,M-3,mimikyu,0,0,0
32,0,single,0,2.7,谜拟Ｑ,2,7,M-B,M-3,mimikyu,0,2,32
32,0,single,1,2.6,谜拟Ｑ,2,8,M-B,M-3,mimikyu,0,1,32
32,0,single,32,1.8,谜拟Ｑ,2,9,M-B,M-3,mimikyu,0,0,2
30,7,single,28,1.7,谜拟Ｑ,2,10,M-B,M-3,mimikyu,0,0,1
32,0,single,2,62.8,魔幻假面喵,3,1,M-B,M-3,meowscarada,0,0,32
32,2,single,0,9.8,魔幻假面喵,3,2,M-B,M-3,meowscarada,0,0,32
32,0,single,0,5.4,魔幻假面喵,3,3,M-B,M-3,meowscarada,0,2,32
32,1,single,0,3.2,魔幻假面喵,3,4,M-B,M-3,meowscarada,0,1,32
32,0,single,0,2.1,魔幻假面喵,3,5,M-B,M-3,meowscarada,0,0,32
30,20,single,4,1.7,魔幻假面喵,3,6,M-B,M-3,meowscarada,0,0,12
12,11,single,24,0.9,魔幻假面喵,3,7,M-B,M-3,meowscarada,0,0,19
32,0,single,1,0.7,魔幻假面喵,3,8,M-B,M-3,meowscarada,0,0,32
2,0,single,0,0.7,魔幻假面喵,3,9,M-B,M-3,meowscarada,32,0,32
32,1,single,1,0.6,魔幻假面喵,3,10,M-B,M-3,meowscarada,0,0,32
0,0,single,2,24.6,铝钢桥龙,4,1,M-B,M-3,archaludon,32,0,32
0,2,single,32,7.9,铝钢桥龙,4,2,M-B,M-3,archaludon,0,32,0
0,0,single,32,3.6,铝钢桥龙,4,3,M-B,M-3,archaludon,32,0,2
0,2,single,32,3.5,铝钢桥龙,4,4,M-B,M-3,archaludon,32,0,0
0,32,single,32,3.4,铝钢桥龙,4,5,M-B,M-3,archaludon,0,2,0
0,2,single,0,3.2,铝钢桥龙,4,6,M-B,M-3,archaludon,32,0,32
0,0,single,32,3.0,铝钢桥龙,4,7,M-B,M-3,archaludon,32,2,0
0,0,single,32,2.5,铝钢桥龙,4,8,M-B,M-3,archaludon,0,32,2
0,0,single,0,2.3,铝钢桥龙,4,9,M-B,M-3,archaludon,32,2,32
0,0,single,32,1.6,铝钢桥龙,4,10,M-B,M-3,archaludon,2,32,0
32,0,single,2,39.1,巨金怪,5,1,M-B,M-3,metagross,0,0,32
22,0,single,12,7.2,巨金怪,5,2,M-B,M-3,metagross,0,0,32
32,0,single,26,4.0,巨金怪,5,3,M-B,M-3,metagross,0,0,8
32,0,single,32,3.6,巨金怪,5,4,M-B,M-3,metagross,0,0,2
32,3,single,22,3.3,巨金怪,5,5,M-B,M-3,metagross,0,0,9
32,2,single,0,2.9,巨金怪,5,6,M-B,M-3,metagross,0,0,32
32,1,single,32,2.2,巨金怪,5,7,M-B,M-3,metagross,0,1,0
32,2,single,32,2.2,巨金怪,5,8,M-B,M-3,metagross,0,0,0
25,0,single,16,1.8,巨金怪,5,9,M-B,M-3,metagross,0,0,25
32,0,single,32,1.8,巨金怪,5,10,M-B,M-3,metagross,0,2,0
0,0,single,2,77.6,雷丘,6,1,M-B,M-3,raichu,32,0,32
32,0,single,2,5.4,雷丘,6,2,M-B,M-3,raichu,0,0,32
0,2,single,0,4.0,雷丘,6,3,M-B,M-3,raichu,32,0,32
0,0,single,0,1.6,雷丘,6,4,M-B,M-3,raichu,32,2,32
